ThoiGian,MucNuocA(cm),MucNuocB(cm),LuuLuong(m3/s),TrangThai,ThongBao
15:45:41 23/10/2025,9.9,89.5,29.13,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:45:46 23/10/2025,10.2,94.6,18.66,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:45:51 23/10/2025,83.0,99.3,28.22,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:45:56 23/10/2025,45.4,71.3,33.71,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:46:01 23/10/2025,72.9,26.3,38.68,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:46:06 23/10/2025,19.1,34.4,43.74,"Bình thường","An toàn"
15:46:11 23/10/2025,45.6,85.2,19.27,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:46:16 23/10/2025,3.5,38.6,24.40,"Bình thường","An toàn"
15:46:21 23/10/2025,78.2,71.9,39.36,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:46:26 23/10/2025,95.4,45.4,15.80,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:46:31 23/10/2025,5.1,72.4,27.74,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:46:36 23/10/2025,77.8,97.6,38.24,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:46:41 23/10/2025,8.1,34.2,17.08,"Bình thường","An toàn"
15:46:46 23/10/2025,73.3,5.6,29.04,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:46:51 23/10/2025,83.5,35.8,29.92,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:46:56 23/10/2025,15.7,14.9,18.83,"Bình thường","An toàn"
15:47:01 23/10/2025,52.6,68.7,38.31,"Bình thường","An toàn"
15:47:06 23/10/2025,7.4,19.6,20.53,"Bình thường","An toàn"
15:47:11 23/10/2025,73.1,53.2,7.71,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:47:16 23/10/2025,21.2,59.6,36.36,"Bình thường","An toàn"
15:47:21 23/10/2025,10.6,38.3,44.32,"Bình thường","An toàn"
15:47:26 23/10/2025,28.4,19.8,6.84,"Bình thường","An toàn"
15:47:32 23/10/2025,95.6,24.0,41.96,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:47:36 23/10/2025,39.4,44.7,43.11,"Bình thường","An toàn"
15:47:41 23/10/2025,20.6,100.0,34.79,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:47:46 23/10/2025,7.8,13.0,49.84,"Bình thường","An toàn"
15:47:51 23/10/2025,4.3,66.0,8.73,"Bình thường","An toàn"
15:47:56 23/10/2025,85.4,49.6,6.40,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:48:02 23/10/2025,18.5,55.1,29.16,"Bình thường","An toàn"
15:48:07 23/10/2025,91.2,9.6,1.71,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:48:12 23/10/2025,22.0,48.3,28.66,"Bình thường","An toàn"
15:48:17 23/10/2025,40.5,37.4,11.25,"Bình thường","An toàn"
15:48:22 23/10/2025,56.6,70.5,12.06,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:48:27 23/10/2025,24.4,99.9,25.94,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:48:32 23/10/2025,25.5,92.4,46.97,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:48:37 23/10/2025,40.0,13.8,45.49,"Bình thường","An toàn"
15:48:42 23/10/2025,90.2,34.7,1.08,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:48:47 23/10/2025,12.7,34.4,3.62,"Bình thường","An toàn"
15:48:52 23/10/2025,45.0,39.5,25.89,"Bình thường","An toàn"
15:48:57 23/10/2025,26.2,17.3,29.73,"Bình thường","An toàn"
15:49:02 23/10/2025,17.4,10.8,27.18,"Bình thường","An toàn"
15:49:07 23/10/2025,49.4,55.5,14.42,"Bình thường","An toàn"
15:49:12 23/10/2025,61.3,81.2,22.48,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:49:17 23/10/2025,72.9,83.0,25.79,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:49:22 23/10/2025,58.7,65.9,40.07,"Bình thường","An toàn"
15:49:27 23/10/2025,27.0,59.8,29.55,"Bình thường","An toàn"
15:49:32 23/10/2025,86.7,50.4,24.58,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:49:37 23/10/2025,98.9,8.6,1.36,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:49:42 23/10/2025,15.3,22.9,30.03,"Bình thường","An toàn"
15:49:47 23/10/2025,32.8,78.1,36.36,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:49:52 23/10/2025,33.6,15.0,33.91,"Bình thường","An toàn"
15:49:57 23/10/2025,30.6,16.1,4.30,"Bình thường","An toàn"
15:50:02 23/10/2025,64.5,36.2,47.94,"Bình thường","An toàn"
15:50:07 23/10/2025,19.9,45.7,34.05,"Bình thường","An toàn"
15:50:12 23/10/2025,3.6,49.1,45.90,"Bình thường","An toàn"
15:50:17 23/10/2025,54.4,54.1,8.77,"Bình thường","An toàn"
15:50:22 23/10/2025,96.1,9.1,24.74,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:50:27 23/10/2025,24.5,48.8,24.72,"Bình thường","An toàn"
15:50:32 23/10/2025,9.9,75.5,30.03,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:50:37 23/10/2025,52.0,43.9,26.49,"Bình thường","An toàn"
15:50:42 23/10/2025,58.9,94.6,38.78,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:50:47 23/10/2025,84.8,92.3,4.19,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:50:52 23/10/2025,74.7,82.6,45.33,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:50:57 23/10/2025,66.0,27.9,34.01,"Bình thường","An toàn"
15:51:02 23/10/2025,8.0,30.7,10.27,"Bình thường","An toàn"
15:51:07 23/10/2025,91.8,83.7,34.54,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:51:12 23/10/2025,29.2,15.7,47.78,"Bình thường","An toàn"
15:51:17 23/10/2025,94.2,81.3,17.21,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:51:22 23/10/2025,32.6,47.1,47.65,"Bình thường","An toàn"
15:51:27 23/10/2025,96.9,48.4,18.40,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:51:32 23/10/2025,49.6,88.2,8.86,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:51:37 23/10/2025,46.0,42.9,0.97,"Bình thường","An toàn"
15:51:42 23/10/2025,94.7,0.8,30.74,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:51:47 23/10/2025,49.2,34.3,14.68,"Bình thường","An toàn"
15:51:52 23/10/2025,58.6,52.7,7.45,"Bình thường","An toàn"
15:51:57 23/10/2025,5.6,33.0,39.21,"Bình thường","An toàn"
15:52:02 23/10/2025,6.1,72.2,36.81,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:52:07 23/10/2025,84.5,64.1,14.85,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:52:12 23/10/2025,76.2,96.5,43.84,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:52:17 23/10/2025,14.5,65.9,34.73,"Bình thường","An toàn"
15:52:22 23/10/2025,32.3,14.0,11.48,"Bình thường","An toàn"
15:52:27 23/10/2025,61.6,36.0,16.86,"Bình thường","An toàn"
15:52:32 23/10/2025,98.4,16.9,25.62,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:52:37 23/10/2025,15.8,74.1,34.30,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:52:42 23/10/2025,57.8,82.7,2.29,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:52:47 23/10/2025,95.2,56.3,2.42,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:52:52 23/10/2025,15.0,50.1,40.25,"Bình thường","An toàn"
15:52:57 23/10/2025,15.4,48.1,7.45,"Bình thường","An toàn"
15:53:02 23/10/2025,27.8,49.5,4.44,"Bình thường","An toàn"
15:53:07 23/10/2025,90.4,64.5,4.09,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:53:12 23/10/2025,29.5,66.5,47.64,"Bình thường","An toàn"
15:53:17 23/10/2025,56.2,9.5,10.45,"Bình thường","An toàn"
15:53:22 23/10/2025,46.9,6.5,13.68,"Bình thường","An toàn"
15:53:27 23/10/2025,64.7,28.7,26.52,"Bình thường","An toàn"
15:53:32 23/10/2025,1.4,63.2,13.01,"Bình thường","An toàn"
15:53:37 23/10/2025,48.1,68.4,42.66,"Bình thường","An toàn"
15:53:42 23/10/2025,8.9,42.8,8.39,"Bình thường","An toàn"
15:53:47 23/10/2025,80.0,49.8,39.55,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:53:52 23/10/2025,68.2,64.3,48.96,"Bình thường","An toàn"
15:53:57 23/10/2025,63.9,45.9,1.32,"Bình thường","An toàn"
15:54:02 23/10/2025,23.3,7.2,18.33,"Bình thường","An toàn"
15:54:07 23/10/2025,89.4,43.7,16.34,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:54:12 23/10/2025,86.2,5.6,6.00,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:54:17 23/10/2025,3.0,77.7,9.54,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:54:22 23/10/2025,70.3,48.4,34.58,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:54:28 23/10/2025,81.0,79.4,21.98,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:54:33 23/10/2025,91.5,48.1,13.74,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:54:38 23/10/2025,91.9,85.8,29.19,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:54:43 23/10/2025,88.7,60.8,24.70,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:54:48 23/10/2025,62.9,82.5,8.29,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:54:53 23/10/2025,37.4,77.7,49.12,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:54:58 23/10/2025,39.8,79.2,7.09,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:55:03 23/10/2025,71.3,25.0,20.22,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:55:08 23/10/2025,64.0,65.5,26.95,"Bình thường","An toàn"
15:55:13 23/10/2025,0.6,39.0,38.86,"Bình thường","An toàn"
15:55:18 23/10/2025,84.4,59.0,37.20,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:55:23 23/10/2025,74.4,6.6,31.47,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:55:28 23/10/2025,91.3,76.8,1.84,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:55:33 23/10/2025,46.6,38.1,35.83,"Bình thường","An toàn"
15:55:38 23/10/2025,21.2,34.0,30.99,"Bình thường","An toàn"
15:55:43 23/10/2025,91.6,93.8,13.34,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:55:48 23/10/2025,65.6,98.0,17.55,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:55:53 23/10/2025,61.0,68.6,14.39,"Bình thường","An toàn"
15:55:58 23/10/2025,88.8,25.6,34.60,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:56:03 23/10/2025,3.3,25.2,49.03,"Bình thường","An toàn"
15:56:08 23/10/2025,95.2,56.7,42.49,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:56:13 23/10/2025,24.5,56.3,18.76,"Bình thường","An toàn"
15:56:18 23/10/2025,36.5,74.9,10.96,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:56:23 23/10/2025,12.6,94.1,49.37,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:56:28 23/10/2025,82.8,28.6,16.37,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:56:33 23/10/2025,41.8,46.1,15.04,"Bình thường","An toàn"
15:56:38 23/10/2025,5.5,74.9,9.13,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:56:43 23/10/2025,69.9,41.6,28.89,"Bình thường","An toàn"
15:56:48 23/10/2025,96.2,65.4,1.74,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:56:53 23/10/2025,63.0,43.8,32.16,"Bình thường","An toàn"
15:56:58 23/10/2025,88.8,11.7,24.72,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:57:03 23/10/2025,30.2,0.2,7.20,"Bình thường","An toàn"
15:57:08 23/10/2025,28.6,27.9,19.59,"Bình thường","An toàn"
15:57:13 23/10/2025,49.9,7.7,7.31,"Bình thường","An toàn"
15:57:18 23/10/2025,8.8,0.8,15.72,"Bình thường","An toàn"
15:57:23 23/10/2025,49.5,56.6,38.55,"Bình thường","An toàn"
15:57:28 23/10/2025,33.6,56.0,46.01,"Bình thường","An toàn"
15:57:33 23/10/2025,80.8,38.5,4.91,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:57:38 23/10/2025,77.3,53.9,47.14,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:57:43 23/10/2025,31.1,1.4,5.58,"Bình thường","An toàn"
15:57:48 23/10/2025,41.9,88.5,29.95,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:57:53 23/10/2025,54.4,76.1,2.09,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:57:58 23/10/2025,44.8,14.7,25.95,"Bình thường","An toàn"
15:58:03 23/10/2025,18.1,67.3,30.28,"Bình thường","An toàn"
15:58:08 23/10/2025,90.7,36.0,30.01,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:58:13 23/10/2025,88.5,75.7,27.91,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:58:18 23/10/2025,99.9,56.7,6.34,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:58:23 23/10/2025,47.0,64.7,28.37,"Bình thường","An toàn"
15:58:28 23/10/2025,98.4,15.1,24.39,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:58:33 23/10/2025,23.7,84.8,24.48,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:58:38 23/10/2025,35.9,93.6,32.36,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:58:43 23/10/2025,62.8,13.7,49.47,"Bình thường","An toàn"
15:58:48 23/10/2025,77.7,69.9,18.93,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:58:53 23/10/2025,48.1,79.7,44.73,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:58:58 23/10/2025,20.4,34.7,26.31,"Bình thường","An toàn"
15:59:03 23/10/2025,87.7,85.1,41.50,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:59:08 23/10/2025,24.7,72.2,28.36,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:59:13 23/10/2025,69.6,52.9,7.68,"Bình thường","An toàn"
15:59:18 23/10/2025,84.5,90.5,15.58,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:59:23 23/10/2025,52.9,34.7,30.13,"Bình thường","An toàn"
15:59:28 23/10/2025,50.0,33.2,23.87,"Bình thường","An toàn"
15:59:33 23/10/2025,11.7,12.9,6.42,"Bình thường","An toàn"
15:59:38 23/10/2025,56.9,88.0,43.42,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:59:43 23/10/2025,86.2,85.6,4.89,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:59:48 23/10/2025,24.9,2.8,49.08,"Bình thường","An toàn"
15:59:53 23/10/2025,46.2,74.6,45.38,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:59:58 23/10/2025,27.3,10.7,3.60,"Bình thường","An toàn"
16:00:03 23/10/2025,74.8,33.9,37.96,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:00:08 23/10/2025,8.9,43.5,36.08,"Bình thường","An toàn"
16:00:13 23/10/2025,95.0,5.1,36.79,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:00:18 23/10/2025,92.3,4.6,3.83,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:00:23 23/10/2025,15.7,71.0,23.24,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:00:28 23/10/2025,17.7,12.7,19.67,"Bình thường","An toàn"
16:00:33 23/10/2025,0.2,57.3,44.79,"Bình thường","An toàn"
16:00:38 23/10/2025,61.8,65.7,37.83,"Bình thường","An toàn"
16:00:43 23/10/2025,76.1,1.0,8.97,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:00:48 23/10/2025,64.7,86.4,12.31,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:00:53 23/10/2025,80.2,55.8,30.65,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:00:58 23/10/2025,48.9,68.1,19.35,"Bình thường","An toàn"
16:01:03 23/10/2025,95.7,65.2,36.98,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:01:08 23/10/2025,13.5,3.2,37.65,"Bình thường","An toàn"
16:01:13 23/10/2025,20.6,70.0,1.72,"Bình thường","An toàn"
16:01:18 23/10/2025,21.3,33.0,29.70,"Bình thường","An toàn"
16:01:23 23/10/2025,27.5,79.2,2.83,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:01:28 23/10/2025,10.0,80.9,26.40,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:01:33 23/10/2025,22.7,83.2,49.09,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:01:38 23/10/2025,1.1,27.2,1.27,"Bình thường","An toàn"
16:01:43 23/10/2025,13.8,14.1,21.77,"Bình thường","An toàn"
16:01:48 23/10/2025,76.8,60.9,14.46,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:01:53 23/10/2025,0.0,3.3,13.37,"Bình thường","An toàn"
16:01:58 23/10/2025,40.4,27.2,32.00,"Bình thường","An toàn"
16:02:03 23/10/2025,60.2,82.5,41.05,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:02:08 23/10/2025,41.0,27.3,26.28,"Bình thường","An toàn"
16:02:13 23/10/2025,36.3,33.8,31.46,"Bình thường","An toàn"
16:02:18 23/10/2025,88.6,33.6,49.91,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:02:24 23/10/2025,71.1,79.2,47.47,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:02:29 23/10/2025,30.0,99.5,29.15,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:02:34 23/10/2025,80.8,29.6,37.89,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:02:39 23/10/2025,16.9,12.8,44.66,"Bình thường","An toàn"
16:02:44 23/10/2025,97.1,13.6,2.89,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:02:49 23/10/2025,73.8,33.3,14.32,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:02:54 23/10/2025,92.9,64.6,34.58,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:02:59 23/10/2025,56.7,29.6,25.13,"Bình thường","An toàn"
16:03:04 23/10/2025,96.6,38.0,23.02,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:03:09 23/10/2025,47.0,66.0,23.73,"Bình thường","An toàn"
16:03:14 23/10/2025,0.1,2.9,33.76,"Bình thường","An toàn"
16:03:19 23/10/2025,23.9,44.0,8.28,"Bình thường","An toàn"
16:03:24 23/10/2025,1.9,84.7,34.02,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:03:29 23/10/2025,27.3,40.1,26.94,"Bình thường","An toàn"
16:03:34 23/10/2025,29.8,80.7,5.43,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:03:39 23/10/2025,75.2,8.8,3.48,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:03:44 23/10/2025,15.7,74.9,23.55,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:03:49 23/10/2025,85.4,81.2,43.02,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:03:54 23/10/2025,97.2,99.4,34.85,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:03:59 23/10/2025,26.7,36.0,22.53,"Bình thường","An toàn"
16:04:04 23/10/2025,90.3,71.1,46.79,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:04:09 23/10/2025,16.6,27.8,2.79,"Bình thường","An toàn"
16:04:14 23/10/2025,35.2,92.0,14.60,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:04:19 23/10/2025,79.7,37.7,46.85,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:04:24 23/10/2025,28.7,78.0,33.44,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:04:29 23/10/2025,82.3,10.1,8.73,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:04:34 23/10/2025,78.6,99.9,19.34,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:04:39 23/10/2025,98.1,22.5,4.55,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:04:44 23/10/2025,74.1,85.0,45.56,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:04:49 23/10/2025,20.3,76.6,22.48,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:04:54 23/10/2025,80.3,85.5,14.60,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:04:59 23/10/2025,88.4,32.0,31.04,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:05:04 23/10/2025,0.0,13.1,18.68,"Bình thường","An toàn"
16:05:09 23/10/2025,20.3,56.6,48.42,"Bình thường","An toàn"
16:05:14 23/10/2025,83.6,83.5,38.25,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:05:19 23/10/2025,11.5,15.8,9.39,"Bình thường","An toàn"
16:05:24 23/10/2025,44.3,99.7,47.38,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:05:29 23/10/2025,61.8,64.6,15.35,"Bình thường","An toàn"
16:05:34 23/10/2025,75.1,23.3,11.43,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:05:39 23/10/2025,1.8,73.9,35.88,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:05:44 23/10/2025,80.0,18.9,15.84,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:05:49 23/10/2025,85.3,9.0,4.83,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:05:54 23/10/2025,2.2,93.0,18.02,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:05:59 23/10/2025,57.4,85.2,10.78,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:06:04 23/10/2025,19.2,61.8,9.64,"Bình thường","An toàn"
16:06:09 23/10/2025,74.5,93.7,2.92,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:06:14 23/10/2025,46.2,4.5,13.65,"Bình thường","An toàn"
16:06:19 23/10/2025,21.0,82.2,40.83,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:06:24 23/10/2025,90.2,60.6,6.56,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:06:29 23/10/2025,92.5,80.1,40.69,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:06:34 23/10/2025,57.5,65.9,35.92,"Bình thường","An toàn"
16:06:39 23/10/2025,83.4,66.4,20.63,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:06:44 23/10/2025,1.1,95.7,31.27,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:06:49 23/10/2025,20.5,73.1,3.59,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:06:54 23/10/2025,13.3,51.6,32.57,"Bình thường","An toàn"
16:06:59 23/10/2025,52.9,2.3,30.42,"Bình thường","An toàn"
16:07:04 23/10/2025,96.5,46.9,34.53,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:07:09 23/10/2025,24.3,25.9,45.36,"Bình thường","An toàn"
16:07:14 23/10/2025,65.6,17.2,21.38,"Bình thường","An toàn"
16:07:19 23/10/2025,21.1,43.1,20.93,"Bình thường","An toàn"
16:07:24 23/10/2025,12.7,37.7,1.75,"Bình thường","An toàn"
16:07:29 23/10/2025,48.7,71.1,29.97,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:07:34 23/10/2025,13.1,35.6,20.97,"Bình thường","An toàn"
16:07:39 23/10/2025,11.3,6.2,19.44,"Bình thường","An toàn"
16:07:44 23/10/2025,84.7,42.2,3.31,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:07:49 23/10/2025,63.4,67.7,39.60,"Bình thường","An toàn"
16:07:54 23/10/2025,1.4,65.1,8.63,"Bình thường","An toàn"
16:07:59 23/10/2025,29.9,95.5,33.32,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:08:04 23/10/2025,49.6,68.7,42.26,"Bình thường","An toàn"
16:08:09 23/10/2025,83.1,63.6,9.87,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:08:14 23/10/2025,99.7,59.2,12.08,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:08:19 23/10/2025,59.8,36.0,46.27,"Bình thường","An toàn"
16:08:24 23/10/2025,4.7,82.0,15.97,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:08:29 23/10/2025,84.0,62.2,38.41,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:08:34 23/10/2025,21.4,9.3,15.34,"Bình thường","An toàn"
